city,price,person_capacity,cleanliness_rating,bedrooms,city_center_km,metro_distance_km,guest_satisfaction
-1.804416478,1.621290294,-0.892807373,0.590141418,-0.460131115,-0.80985141,-0.104686049,-0.156309862
1.361226466,0.087440469,-0.892807373,0.590141418,-0.460131115,1.923761662,2.680208164,-2.119622138
0.965521098,-0.7933747,-0.892807373,-0.866997886,-0.460131115,-0.775248713,0.371487573,-0.609381926
-1.013005742,0.71937461,-0.892807373,0.590141418,-0.460131115,-1.333835109,-0.566430168,0.598810244
0.174110362,-0.215782879,-0.892807373,-0.866997886,-0.460131115,0.282605171,0.919808713,-0.911429968
0.174110362,1.227764159,2.239850076,0.590141418,1.024162805,-0.646724409,-0.681866197,0.900858287
0.56981573,1.072398879,-0.109643011,0.590141418,1.024162805,0.104648443,-0.364417116,0.296762202
-1.40871111,-1.046086569,1.456685713,0.590141418,1.024162805,-0.12274071,-0.552000664,0.598810244
-1.40871111,-1.065518814,0.673521351,0.590141418,1.024162805,-1.239913502,-0.321128605,0.14573818
1.361226466,0.349142454,-0.892807373,0.590141418,-0.460131115,0.262832201,-0.566430168,0.598810244
0.174110362,0.677884141,1.456685713,0.590141418,2.508456726,0.124421412,-0.782872723,0.900858287
-1.40871111,-1.068824458,-0.109643011,0.590141418,1.024162805,-0.32541365,-0.090256546,-0.156309862
-1.40871111,-1.048063777,0.673521351,0.590141418,1.024162805,-0.404505529,-0.422135131,0.447786223
-0.617300374,-0.5977856,0.673521351,0.590141418,-0.460131115,0.401242989,-0.580859671,0.598810244
0.965521098,-0.797668948,-0.892807373,-0.866997886,-0.460131115,-0.36495959,0.414776084,-0.760405947
-0.617300374,-0.522898856,0.673521351,0.590141418,-0.460131115,0.208456534,-0.840590738,0.900858287
1.361226466,-0.023283166,-0.109643011,0.590141418,-0.460131115,0.742326718,-0.465423642,0.447786223
-0.617300374,-0.626516901,0.673521351,0.590141418,-0.460131115,1.360232024,-0.595289175,0.598810244
-1.40871111,-1.100830509,-0.892807373,-2.324137189,-0.460131115,2.289561603,3.820138956,-3.629862351
-0.221595006,-0.930296339,-0.892807373,-0.866997886,-0.460131115,1.137786114,-0.321128605,0.14573818
-1.804416478,1.710326431,-0.892807373,0.590141418,-0.460131115,-1.175651351,-0.855020242,0.900858287
-1.40871111,-0.955505738,2.239850076,0.590141418,1.024162805,-0.419335257,-0.696295701,0.900858287
0.174110362,1.239534724,2.239850076,0.590141418,1.024162805,0.010726836,-0.681866197,0.900858287
0.56981573,0.07523739,-0.109643011,-0.866997886,-0.460131115,-0.617064954,-0.364417116,0.296762202
-1.013005742,0.66351849,-0.892807373,-0.866997886,-0.460131115,-1.007581108,-0.220122079,0.14573818
0.965521098,-0.787999167,-0.892807373,0.590141418,-0.460131115,5.927788043,0.155045017,-0.307333883
0.965521098,0.286551471,0.673521351,-0.866997886,-0.460131115,-0.271037983,-0.681866197,0.900858287
0.965521098,-0.777340781,-0.109643011,0.590141418,-0.460131115,-0.622008197,-0.003679523,-0.156309862
0.965521098,-0.854760823,0.673521351,-2.324137189,1.024162805,0.618745657,1.107392261,-1.062453989
-0.221595006,-0.919977786,0.673521351,0.590141418,-0.460131115,-1.155878381,-0.37884662,0.447786223
0.174110362,0.311729976,0.673521351,0.590141418,-0.460131115,-0.221605559,-0.26341059,0.14573818
0.56981573,0.689994538,-0.892807373,-2.324137189,-0.460131115,0.366640292,1.165110276,-1.062453989
-0.617300374,-0.848520261,-0.892807373,-0.866997886,-0.460131115,1.394834721,3.545978386,-3.478838329
-0.221595006,-0.89958783,1.456685713,0.590141418,-0.460131115,-0.404505529,-0.523141657,0.598810244
0.56981573,2.46728807,-0.892807373,0.590141418,-0.460131115,-0.513256863,-0.782872723,0.900858287
0.174110362,-0.347730604,-0.892807373,-2.324137189,-0.460131115,-0.132627195,1.222828291,-1.364502032
0.965521098,-0.794177941,-0.109643011,-0.866997886,-0.460131115,-0.12274071,0.458064595,-0.760405947
0.56981573,1.262736021,-0.892807373,0.590141418,-0.460131115,-1.249799987,-0.566430168,0.598810244
-1.804416478,3.580579622,-0.892807373,0.590141418,-0.460131115,-0.280924468,-0.883879249,0.900858287
0.56981573,0.683723082,-0.892807373,-0.866997886,-0.460131115,-0.14251368,1.222828291,-1.213478011
0.965521098,-0.558303232,-0.109643011,0.590141418,1.024162805,-0.948262198,-0.37884662,0.447786223
